model,seed,sample,protein,spearman
mlp_64,2,A1TNSL,BCL2,0.6255911703388115
mlp_64,2,A1TNSL,CCR7,0.3954373931530081
mlp_64,2,A1TNSL,CD14,0.2907851971447223
mlp_64,2,A1TNSL,CD163,0.3054519558406038
mlp_64,2,A1TNSL,CD19,0.3809837516005633
mlp_64,2,A1TNSL,CD27,0.3079164187316484
mlp_64,2,A1TNSL,CD274,0.5033006426869465
mlp_64,2,A1TNSL,CD3E,0.8596143572043102
mlp_64,2,A1TNSL,CD4,0.28674680781171574
mlp_64,2,A1TNSL,CD40,0.34796139651107083
mlp_64,2,A1TNSL,CD68,0.4186060849580633
mlp_64,2,A1TNSL,CD8A,0.8070418917831373
mlp_64,2,A1TNSL,CEACAM8,0.4606925663809279
mlp_64,2,A1TNSL,CR2,0.31217433561825486
mlp_64,2,A1TNSL,CXCR5,0.7422713133709574
mlp_64,2,A1TNSL,EPCAM,0.3892114639722847
mlp_64,2,A1TNSL,FCGR3A,0.14580465157592465
mlp_64,2,A1TNSL,HLA_DRA,0.6177066389701873
mlp_64,2,A1TNSL,ITGAM,0.25539813188514543
mlp_64,2,A1TNSL,ITGAX,0.41989945204952056
mlp_64,2,A1TNSL,KRT5,0.789835564179756
mlp_64,2,A1TNSL,MS4A1,0.4262294018758183
mlp_64,2,A1TNSL,PAX5,0.7954025282394608
mlp_64,2,A1TNSL,PCNA,0.2678143163741851
mlp_64,2,A1TNSL,PDCD1,0.2762389410524119
mlp_64,2,A1TNSL,PECAM1,0.7472582143337694
mlp_64,2,A1TNSL,PTPRC_1,0.18279787853792018
mlp_64,2,A1TNSL,PTPRC_2,0.410981312683532
mlp_64,2,A1TNSL,SDC1,0.21818756065613118
mlp_64,2,A1TNSL,VIM,0.6753176461003039
mlp_64,2,D1LN,ACTA2,0.35206570345354815
mlp_64,2,D1LN,BCL2,0.40466518421951025
mlp_64,2,D1LN,CCR7,0.38617254249407745
mlp_64,2,D1LN,CD14,0.13940178036861045
mlp_64,2,D1LN,CD163,0.4640511397038346
mlp_64,2,D1LN,CD19,0.39557595059504663
mlp_64,2,D1LN,CD27,0.09166265874910728
mlp_64,2,D1LN,CD274,-0.16113384729058505
mlp_64,2,D1LN,CD3E,0.7042231850951511
mlp_64,2,D1LN,CD4,-0.07787592339963556
mlp_64,2,D1LN,CD40,-0.03310991242499509
mlp_64,2,D1LN,CD68,0.12317268600010009
mlp_64,2,D1LN,CD8A,0.5174161637031628
mlp_64,2,D1LN,CEACAM8,0.20828087359457081
mlp_64,2,D1LN,CR2,-0.12640616812700628
mlp_64,2,D1LN,CXCR5,0.39029998660407955
mlp_64,2,D1LN,EPCAM,-0.15671378021030685
mlp_64,2,D1LN,FCGR3A,0.3317779827739832
mlp_64,2,D1LN,HLA_DRA,0.42859654277631604
mlp_64,2,D1LN,ITGAM,0.2330335580863554
mlp_64,2,D1LN,ITGAX,0.31965712431895943
mlp_64,2,D1LN,KRT5,0.005822536859917091
mlp_64,2,D1LN,MS4A1,0.2144164748732758
mlp_64,2,D1LN,PAX5,0.4068428744884309
mlp_64,2,D1LN,PCNA,-0.09273819515421779
mlp_64,2,D1LN,PDCD1,-0.32338025377089524
mlp_64,2,D1LN,PECAM1,0.34012677634702737
mlp_64,2,D1LN,PTPRC_1,0.17879137118724528
mlp_64,2,D1LN,PTPRC_2,0.4232858622179887
mlp_64,2,D1LN,SDC1,0.0636263451194435
mlp_64,2,D1LN,VIM,-0.1880546823676288
mlp_64,2,D1TNSL,ACTA2,0.8130278800886607
mlp_64,2,D1TNSL,BCL2,0.597983760756592
mlp_64,2,D1TNSL,CCR7,0.41526533815480005
mlp_64,2,D1TNSL,CD14,0.3355772247374755
mlp_64,2,D1TNSL,CD163,0.35762287153116484
mlp_64,2,D1TNSL,CD19,0.36531259738584404
mlp_64,2,D1TNSL,CD27,0.34186339207269506
mlp_64,2,D1TNSL,CD274,0.5088047528496653
mlp_64,2,D1TNSL,CD3E,0.848709218744388
mlp_64,2,D1TNSL,CD4,0.35490274819278317
mlp_64,2,D1TNSL,CD40,0.29876817978691544
mlp_64,2,D1TNSL,CD68,0.34117889520169004
mlp_64,2,D1TNSL,CD8A,0.8037870244654971
mlp_64,2,D1TNSL,CEACAM8,0.49367980215826057
mlp_64,2,D1TNSL,CR2,0.3164555005983669
mlp_64,2,D1TNSL,CXCR5,0.7235778444321381
mlp_64,2,D1TNSL,EPCAM,0.3739174122735106
mlp_64,2,D1TNSL,FCGR3A,0.12383403568519817
