experiment,fold,protein,spearman,kind
External GSE263617 (20 ep),holdout_tonsil,CD14,0.0508110410054537,marker
External GSE263617 (20 ep),holdout_tonsil,CD163,0.3992898118200353,marker
External GSE263617 (20 ep),holdout_tonsil,CD19,0.3200282279170253,marker
External GSE263617 (20 ep),holdout_tonsil,CD27,-0.1443594957676687,marker
External GSE263617 (20 ep),holdout_tonsil,CD274,-0.0497995151970351,marker
External GSE263617 (20 ep),holdout_tonsil,CD3E,0.4647084264898082,marker
External GSE263617 (20 ep),holdout_tonsil,CD4,-0.2926490218524348,marker
External GSE263617 (20 ep),holdout_tonsil,CD40,0.0503708953543611,marker
External GSE263617 (20 ep),holdout_tonsil,CD68,-0.5458506052735499,marker
External GSE263617 (20 ep),holdout_tonsil,CD8A,0.0924098599949616,marker
External GSE263617 (20 ep),holdout_tonsil,CEACAM8,-0.0657873578479706,marker
External GSE263617 (20 ep),holdout_tonsil,CR2,-0.0945176550762892,marker
External GSE263617 (20 ep),holdout_tonsil,CXCR5,0.3329063250586409,marker
External GSE263617 (20 ep),holdout_tonsil,EPCAM,-0.0690079112530271,marker
External GSE263617 (20 ep),holdout_tonsil,FCGR3A,-0.3262415737314867,marker
External GSE263617 (20 ep),holdout_tonsil,HLA_DRA,0.4770115271997435,marker
External GSE263617 (20 ep),holdout_tonsil,ITGAM,0.0743731674810805,marker
External GSE263617 (20 ep),holdout_tonsil,ITGAX,0.3160359764252707,marker
External GSE263617 (20 ep),holdout_tonsil,KRT5,-0.0598450155067007,marker
External GSE263617 (20 ep),holdout_tonsil,MS4A1,0.1667691437410446,marker
External GSE263617 (20 ep),holdout_tonsil,PAX5,0.0787138840871028,marker
External GSE263617 (20 ep),holdout_tonsil,PCNA,0.2263311238132579,marker
External GSE263617 (20 ep),holdout_tonsil,PDCD1,0.2241117962066618,marker
External GSE263617 (20 ep),holdout_tonsil,PECAM1,0.4827043747305409,marker
External GSE263617 (20 ep),holdout_tonsil,PTPRC_1,-0.193811783261458,marker
External GSE263617 (20 ep),holdout_tonsil,PTPRC_2,0.2812151321142059,marker
External GSE263617 (20 ep),holdout_tonsil,SDC1,0.005096822561232,marker
External GSE263617 (20 ep),holdout_tonsil,VIM,0.2824497263996228,marker
External GSE263617 (20 ep),holdout_tonsil,mouse_IgG1k,-0.1232532166128967,isotype
External GSE263617 (20 ep),holdout_tonsil,mouse_IgG2a,0.0051774812102906,isotype
External GSE263617 (20 ep),holdout_tonsil,mouse_IgG2bk,-0.1885729348763337,isotype
External GSE263617 (20 ep),holdout_tonsil,rat_IgG2a,-0.0894470362819313,isotype
External GSE263617 (20 ep),holdout_tonsil,ACTA2,0.6843994420188544,marker
External GSE263617 (20 ep),holdout_tonsil,BCL2,-0.5473899864821752,marker
External GSE263617 (20 ep),holdout_tonsil,CCR7,-0.0106852796921919,marker
External GSE263617 (20 ep),holdout_tonsil,CD14,0.1705176707592499,marker
External GSE263617 (20 ep),holdout_tonsil,CD163,0.1020201234494234,marker
External GSE263617 (20 ep),holdout_tonsil,CD19,0.2742026458258802,marker
External GSE263617 (20 ep),holdout_tonsil,CD27,0.1769801445617376,marker
External GSE263617 (20 ep),holdout_tonsil,CD274,0.3638197391594303,marker
External GSE263617 (20 ep),holdout_tonsil,CD3E,0.5693406861019354,marker
External GSE263617 (20 ep),holdout_tonsil,CD4,-0.1615676993272233,marker
External GSE263617 (20 ep),holdout_tonsil,CD40,0.2421393432456338,marker
External GSE263617 (20 ep),holdout_tonsil,CD68,0.1457036285353524,marker
External GSE263617 (20 ep),holdout_tonsil,CD8A,0.026388952373635,marker
External GSE263617 (20 ep),holdout_tonsil,CEACAM8,-0.3556870265083483,marker
External GSE263617 (20 ep),holdout_tonsil,CR2,-0.3166945888928484,marker
External GSE263617 (20 ep),holdout_tonsil,CXCR5,0.5586270838613585,marker
External GSE263617 (20 ep),holdout_tonsil,EPCAM,0.1881363912480617,marker
External GSE263617 (20 ep),holdout_tonsil,FCGR3A,-0.1120945597530022,marker
External GSE263617 (20 ep),holdout_tonsil,HLA_DRA,0.2905605524396718,marker
External GSE263617 (20 ep),holdout_tonsil,ITGAM,-0.0831115664329548,marker
External GSE263617 (20 ep),holdout_tonsil,ITGAX,0.0998080842031512,marker
External GSE263617 (20 ep),holdout_tonsil,KRT5,0.6696287366823314,marker
External GSE263617 (20 ep),holdout_tonsil,MS4A1,0.2032176082828243,marker
External GSE263617 (20 ep),holdout_tonsil,PAX5,0.362643025611202,marker
External GSE263617 (20 ep),holdout_tonsil,PCNA,0.1798415644220638,marker
External GSE263617 (20 ep),holdout_tonsil,PDCD1,0.4600038818819527,marker
External GSE263617 (20 ep),holdout_tonsil,PECAM1,0.5950570194796564,marker
External GSE263617 (20 ep),holdout_tonsil,PTPRC_1,0.0985490825879638,marker
External GSE263617 (20 ep),holdout_tonsil,PTPRC_2,0.3735220694295127,marker
External GSE263617 (20 ep),holdout_tonsil,SDC1,0.2172056062636,marker
External GSE263617 (20 ep),holdout_tonsil,VIM,0.7157816478993048,marker
External GSE263617 (20 ep),holdout_tonsil,mouse_IgG1k,0.1279170730278945,isotype
External GSE263617 (20 ep),holdout_tonsil,mouse_IgG2a,-0.0050533366521551,isotype
External GSE263617 (20 ep),holdout_tonsil,mouse_IgG2bk,0.0455782714344821,isotype
External GSE263617 (20 ep),holdout_tonsil,rat_IgG2a,0.0236620705439439,isotype
External GSE263617 (20 ep),holdout_breast_cancer,ACTA2,0.4893995337466592,marker
External GSE263617 (20 ep),holdout_breast_cancer,BCL2,-0.0604377909745205,marker
External GSE263617 (20 ep),holdout_breast_cancer,CCR7,0.0177912317415255,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD14,0.2479844721788774,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD163,0.1916284050364387,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD19,0.0249930255184733,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD27,-0.1058628906465846,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD274,0.1846173492632879,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD3E,-0.3276403123581982,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD4,0.0880209400925252,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD40,0.2111279002134637,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD68,-0.5437310654533942,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD8A,-0.1238165968742233,marker
External GSE263617 (20 ep),holdout_breast_cancer,CEACAM8,0.3435997532928834,marker
External GSE263617 (20 ep),holdout_breast_cancer,CR2,0.1971557882925236,marker
External GSE263617 (20 ep),holdout_breast_cancer,CXCR5,0.4013371898432242,marker
External GSE263617 (20 ep),holdout_breast_cancer,EPCAM,-0.0017691817716164,marker
External GSE263617 (20 ep),holdout_breast_cancer,FCGR3A,0.2922286973047699,marker
External GSE263617 (20 ep),holdout_breast_cancer,HLA_DRA,0.4222968681960596,marker
External GSE263617 (20 ep),holdout_breast_cancer,ITGAM,-0.0990949332673163,marker
External GSE263617 (20 ep),holdout_breast_cancer,ITGAX,-0.0240959542362654,marker
External GSE263617 (20 ep),holdout_breast_cancer,KRT5,0.0220951162324013,marker
External GSE263617 (20 ep),holdout_breast_cancer,MS4A1,0.1031841099045534,marker
External GSE263617 (20 ep),holdout_breast_cancer,PAX5,0.1013371691555279,marker
External GSE263617 (20 ep),holdout_breast_cancer,PCNA,-0.4815885761597772,marker
External GSE263617 (20 ep),holdout_breast_cancer,PDCD1,0.2141633845524578,marker
External GSE263617 (20 ep),holdout_breast_cancer,PECAM1,0.6130329164636896,marker
External GSE263617 (20 ep),holdout_breast_cancer,PTPRC_1,-0.113351878039482,marker
External GSE263617 (20 ep),holdout_breast_cancer,PTPRC_2,0.0526243230106732,marker
External GSE263617 (20 ep),holdout_breast_cancer,SDC1,-0.0819940316168183,marker
External GSE263617 (20 ep),holdout_breast_cancer,VIM,0.1686241816026484,marker
External GSE263617 (20 ep),holdout_breast_cancer,mouse_IgG1k,0.049332519610751,isotype
External GSE263617 (20 ep),holdout_breast_cancer,mouse_IgG2a,-0.0235830635850592,isotype
External GSE263617 (20 ep),holdout_breast_cancer,mouse_IgG2bk,0.03115152272719,isotype
External GSE263617 (20 ep),holdout_breast_cancer,rat_IgG2a,-0.1750273389019106,isotype
External GSE263617 (20 ep),holdout_breast_cancer,ACTA2,0.7609427875187901,marker
External GSE263617 (20 ep),holdout_breast_cancer,BCL2,0.3204007260873781,marker
External GSE263617 (20 ep),holdout_breast_cancer,CCR7,-0.1695530021291098,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD14,0.2304192701792747,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD163,0.0077760456912331,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD19,-0.0157993596669929,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD27,0.3523853433661862,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD274,0.2589719314768111,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD3E,0.7341406823047455,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD4,-0.4325490075290741,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD40,0.1363240522196796,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD68,0.1824447957913045,marker
External GSE263617 (20 ep),holdout_breast_cancer,CD8A,0.75176273718944,marker
External GSE263617 (20 ep),holdout_breast_cancer,CEACAM8,0.2979324708563632,marker
External GSE263617 (20 ep),holdout_breast_cancer,CR2,-0.2705460906527504,marker
External GSE263617 (20 ep),holdout_breast_cancer,CXCR5,0.4835713781960794,marker
External GSE263617 (20 ep),holdout_breast_cancer,EPCAM,0.0547826807633284,marker
External GSE263617 (20 ep),holdout_breast_cancer,FCGR3A,-0.0770057323563777,marker
External GSE263617 (20 ep),holdout_breast_cancer,HLA_DRA,0.3375624002929915,marker
External GSE263617 (20 ep),holdout_breast_cancer,ITGAM,0.117766375460995,marker
External GSE263617 (20 ep),holdout_breast_cancer,ITGAX,-0.1004683744474493,marker
External GSE263617 (20 ep),holdout_breast_cancer,KRT5,0.7704696269094349,marker
External GSE263617 (20 ep),holdout_breast_cancer,MS4A1,0.1131144290424352,marker
External GSE263617 (20 ep),holdout_breast_cancer,PAX5,0.3827820247837042,marker
External GSE263617 (20 ep),holdout_breast_cancer,PCNA,0.3686111320020758,marker
External GSE263617 (20 ep),holdout_breast_cancer,PDCD1,-0.3442709089343825,marker
External GSE263617 (20 ep),holdout_breast_cancer,PECAM1,0.4402789074882348,marker
