section,protein,signature,n_genes,rho,p,rho_adj,p_adj,is_isotype
B,PAX5,SCT,12,0.3474896348676053,1.2192459204364225e-40,0.3406964966797002,4.8910054343143765e-39,False
B,PCNA,SCT,12,0.3814936355828782,2.7878870211677394e-49,0.3954887146088275,3.7832808141720118e-53,False
B,PDCD1,SCT,12,0.3632907324566598,1.5872016013731697e-44,0.3621713898730411,3.0421443874878824e-44,False
B,PECAM1,SCT,12,-0.27489072538980286,1.809877074082146e-25,-0.2610911594287487,4.7454297824180633e-23,False
B,PTPRC_1,SCT,12,-0.37224039870727116,7.956213201115313e-47,-0.37913152215993134,1.201347411017216e-48,False
B,PTPRC_2,SCT,12,-0.41398397190880587,1.4886213501375349e-58,-0.43336790949348064,1.3542087870035535e-64,False
B,SDC1,SCT,12,0.1362844465301537,3.4914980335941773e-07,0.11682658129491531,1.2892060178768008e-05,False
B,VIM,SCT,12,-0.38404710271286263,5.670014281361807e-50,-0.38414922088868514,5.318558551741564e-50,False
B,mouse_IgG1k,SCT,12,-0.4016539410039881,6.516115678169344e-55,-0.419979534755688,2.2197287635061009e-60,True
B,mouse_IgG2a,SCT,12,-0.3666572794464007,2.2081413392322656e-45,-0.3578472786090247,3.665562518904861e-43,True
B,mouse_IgG2bk,SCT,12,-0.3640953172472282,9.927494467679844e-45,-0.37159010823378813,1.1756668929434138e-46,True
B,rat_IgG2a,SCT,12,0.2944923877695819,3.7597596541100515e-29,0.28404552119097853,3.7526590054602555e-27,True
B,ACTA2,VCT,5,-0.31799798006985774,5.801004214440159e-34,-0.28512546964977764,2.352691419833692e-27,False
B,BCL2,VCT,5,-0.3360600344810164,5.767435679130532e-38,-0.29144038606687817,1.4720653438230763e-28,False
B,CCR7,VCT,5,0.1665250940531491,4.3805479749717236e-10,0.14620878109202295,4.508458139406683e-08,False
B,CD14,VCT,5,-0.290807351489915,1.9497182365109927e-28,-0.24122065377363897,8.207416602480283e-20,False
B,CD163,VCT,5,-0.3207147303037628,1.5091150531383843e-34,-0.29306293407506145,7.13991017052722e-29,False
B,CD19,VCT,5,0.24313317588916455,4.120062153283132e-20,0.23610975291016648,5.027021919709447e-19,False
B,CD27,VCT,5,-0.28846675802319094,5.476878937977695e-28,-0.2359627360942524,5.292720085619532e-19,False
B,CD274,VCT,5,0.3619867005344667,3.386034769550515e-44,0.33597136135811967,6.043645245228193e-38,False
B,CD3E,VCT,5,-0.3334719524355676,2.244981661042853e-37,-0.29642140483663404,1.5731215039166044e-29,False
B,CD4,VCT,5,0.2657314839383787,7.563715420918969e-24,0.22890141813605672,6.02783837950275e-18,False
B,CD40,VCT,5,0.276673077475409,8.607851962001191e-26,0.23949475325867928,1.520800294597126e-19,False
B,CD68,VCT,5,0.3444210953444015,6.5350790361491405e-40,0.2812728465422094,1.232729384218268e-26,False
B,CD8A,VCT,5,-0.3192614227730962,3.106689175281099e-34,-0.28262545071894524,6.912252009764848e-27,False
B,CEACAM8,VCT,5,0.3368022427192942,3.896472175485145e-38,0.30974695011642195,3.182517392320477e-32,False
B,CR2,VCT,5,0.3260003889500312,1.0558631970116925e-35,0.2808434058806491,1.4802870165544545e-26,False
B,CXCR5,VCT,5,0.2828172857038254,6.366095166352169e-27,0.2358560780702017,5.494106512561681e-19,False
B,EPCAM,VCT,5,0.3112224739431444,1.5695504636362826e-32,0.26704091943120395,4.475114246576994e-24,False
B,FCGR3A,VCT,5,-0.2182180576386512,2.0539123470513456e-16,-0.13888506352717933,2.0699663390136802e-07,False
B,HLA_DRA,VCT,5,0.33579158612127413,6.644578746009814e-38,0.29724599647749916,1.0817394267108814e-29,False
B,ITGAM,VCT,5,0.29800755155994824,7.646158136146086e-30,0.2605771625420604,5.802866413372025e-23,False
B,ITGAX,VCT,5,-0.2919121436201843,1.1933659109722116e-28,-0.256797382241692,2.512892028876606e-22,False
B,KRT5,VCT,5,0.3387150627730844,1.411202224115886e-38,0.30452375161167156,3.76272630037702e-31,False
B,MS4A1,VCT,5,0.30046323082485027,2.4800923807430282e-30,0.27297027986370004,4.0062467028426893e-25,False
B,PAX5,VCT,5,0.3213152241106674,1.1185368705650163e-34,0.2748354393479096,1.8519200865055883e-25,False
B,PCNA,VCT,5,0.33349878620066287,2.213717365752055e-37,0.2978864842980931,8.080304477173266e-30,False
B,PDCD1,VCT,5,0.3007185298776455,2.204755346696335e-30,0.25370838759211584,8.177868236844926e-22,False
B,PECAM1,VCT,5,-0.29513036906476914,2.820553693383795e-29,-0.255072293489818,4.866561410061873e-22,False
B,PTPRC_1,VCT,5,-0.28636133551322085,1.3753706942667766e-27,-0.24705620722373245,9.835498097432555e-21,False
B,PTPRC_2,VCT,5,-0.328527412935299,2.90528453975434e-36,-0.2932497227848738,6.567298333348525e-29,False
B,SDC1,VCT,5,0.19098988796242877,7.356442741665043e-13,0.1489674039062658,2.4890263748525147e-08,False
B,VIM,VCT,5,-0.3103915760475593,2.3381152987167598e-32,-0.2619047189930014,3.448210068986346e-23,False
B,mouse_IgG1k,VCT,5,-0.3093741799847013,3.8023516392108687e-32,-0.283660862405072,4.429435730007123e-27,True
B,mouse_IgG2a,VCT,5,-0.23299058328032812,1.4880594677601778e-18,-0.21816641124143915,2.0883284433312777e-16,True
B,mouse_IgG2bk,VCT,5,-0.28916032858858387,4.0369658833667116e-28,-0.24880972792146777,5.142337971155592e-21,True
B,rat_IgG2a,VCT,5,0.2599037803561207,7.547586459340916e-23,0.21153214812587318,1.7048112886666822e-15,True
B,ACTA2,EVT,6,0.15721269294123033,3.948267299623618e-09,0.2033646450815761,2.057001793232312e-14,False
B,BCL2,EVT,6,0.13226236085811272,7.690443942764186e-07,0.18343999000735392,5.815804213995576e-12,False
B,CCR7,EVT,6,-0.12478134030281536,3.1436925793692762e-06,-0.15544681468170268,5.905632325824418e-09,False
B,CD14,EVT,6,0.1331783600372849,6.437608260314889e-07,0.17102061303466284,1.4478773947244738e-10,False
B,CD163,EVT,6,0.04074803444099939,0.12931255596595972,0.07980512541181911,0.0029375037456369642,False
B,CD19,EVT,6,-0.220230570501192,1.0713540318653299e-16,-0.2241677447375064,2.9437673971130244e-17,False
B,CD27,EVT,6,0.13275203359139626,6.994098749828794e-07,0.19086410529285813,7.619653993530376e-13,False
B,CD274,EVT,6,-0.03052434081922032,0.25593941643651813,-0.09668269622164269,0.000311067925825146,False
B,CD3E,EVT,6,0.1655137320256496,5.596391840459005e-10,0.22016746622856465,1.0935484595259712e-16,False
B,CD4,EVT,6,-0.11399075805447081,2.08727489512433e-05,-0.16331415710582908,9.484452497669298e-10,False
